est_diameter_min,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
33,74,89320,61784540,24,0
24,54,99395,68077860,25,0
11,24,15097,22680068,26,0
40,89,10088,18323931,24,0
4,10,16149,55101793,28,0
67,150,74520,33741597,22,0
35,80,33648,14796692,24,0
30,68,42354,19141387,24,0
183,411,6523,61028921,20,0
24,54,22901,33979746,25,0
23,51,33379,14826650,25,0
46,103,35942,20718417,23,0
38,85,64241,70033779,24,0
79,177,85641,27745759,22,0
35,78,35715,60261451,24,0
53,118,59780,10312637,23,0
278,622,73761,40136091,19,0
5,11,28968,42378400,28,0
15,34,45405,5957654,26,0
66,149,16183,26726048,23,0
35,78,33787,21421906,24,0
92,206,71447,65741742,22,0
110,247,93316,38727912,21,1
8,18,34569,10830129,27,0
13,29,12106,666924,26,0
221,494,94311,66776375,20,0
50,113,58390,67885992,23,0
31,71,18039,16491155,24,0
16,35,35415,2721089,26,0
319,714,97880,52333510,19,0
111,248,67301,62282894,21,1
30,68,46366,4592877,24,0
84,187,13265,63771367,22,0
17,39,31595,27087588,25,0
101,225,98976,39070895,22,0
9,20,29186,2232909,27,0
315,704,82780,27476413,19,0
69,156,25058,45015523,22,0
84,187,54183,23690311,22,0
23,51,14865,9025065,25,0
83,186,35763,25000235,22,0
63,142,23133,16337855,23,0
214,478,64810,11753708,20,1
319,714,79892,73472679,19,0
105,236,25089,33305444,22,0
253,567,111968,64051054,20,1
10,22,53169,52048173,27,0
53,206,28886,6449755,23,0
40,89,16328,18104345,24,0
35,78,33330,17936898,24,0
8,19,41322,55981681,27,0
38,85,36430,3368017,24,0
29,66,39217,21585991,24,0
192,430,36957,38308586,20,0
21,47,31639,72086732,25,0
183,411,92102,52656920,20,0
6,13,56364,63175065,28,0
5,12,100444,59671767,28,0
16,37,26728,55560055,26,0
22,49,99484,60597227,25,0
23,51,23395,64230067,25,0
69,156,38298,13066995,22,0
76,171,15388,31595806,22,0
33,74,78655,45547320,24,0
27,62,24183,39119529,24,0
27,61,29897,20073785,24,0
104,234,37209,24729481,22,0
66,149,45353,23360173,23,0
30,68,55507,5927093,24,0
48,108,53994,7047515,23,0
12,27,42081,1164686,26,0
13,29,23518,37034118,26,0
18,41,52073,4150593,25,0
211,472,50325,51976836,20,0
27,62,59449,4653972,24,0
19,43,49264,39057109,25,0
38,85,78256,63123351,24,0
44,100,25510,13984807,23,0
63,142,83331,68267193,23,0
22,49,91402,67164103,25,0
44,98,20432,30372624,23,0
116,259,39445,25769793,21,1
19,43,79999,58628813,25,0
38,85,28613,12662062,24,0
11,25,43177,39124868,26,0
21,130,68838,64337851,25,0
26,59,55774,55537963,25,0
6,15,55774,36163443,27,0
44,100,33964,14361963,23,0
110,247,56853,44668041,21,0
24,54,59535,36010066,25,0
20,45,11361,9409070,25,0
10,23,12487,25731399,27,0
210,469,48979,61823002,20,0
5,12,32119,37491881,28,0
53,119,63328,51202171,23,0
183,411,47621,57038608,20,0
5,11,105642,42743579,28,0
90,201,62233,49387439,22,0
20,45,11163,62794571,25,0
27,61,56188,70899780,24,0
192,430,46927,57585895,20,0
16,37,17784,24014831,26,0
26,59,20370,18302695,25,0
53,118,67958,48712242,23,0
44,98,13322,24844037,23,0
29,65,58943,21105593,24,0
303,679,92325,51736400,19,1
16,37,35146,23446605,26,0
12,28,21558,27991553,26,0
63,142,49065,23162261,23,0
58,130,10933,72525540,23,0
38,85,15220,39753387,24,0
40,89,53135,25578272,24,0
17,39,12585,1973323,25,0
167,375,50274,43377698,21,0
39,88,30087,68355352,24,0
8,19,20875,957952,27,0
110,247,62398,38696643,21,1
12,27,53116,64510990,26,0
16,35,74536,3017168,26,0
23,51,20697,10984569,25,0
6,13,73467,52104428,28,0
20,45,23271,9384883,25,0
42,94,47749,66848857,24,0
76,171,80668,12826790,22,0
218,487,42258,13966587,20,0
52,118,56995,29006800,23,0
84,187,65340,35124707,22,0
13,31,32154,69733608,26,0
31,71,19439,11803495,24,0
5,13,31757,1331892,28,0
47,105,42961,10352981,23,0
211,472,50626,8708659,20,1
84,187,76211,33864887,22,0
11,25,31359,38376227,26,0
242,542,53176,53484121,20,0
9,21,30458,1431276,27,0
88,196,43415,44606256,22,0
12,27,48941,66353871,23,0
66,149,28429,33010064,23,0
119,266,46375,53591335,21,0
21,47,46710,8367990,25,0
8,18,48152,52169678,27,0
183,411,65416,40600823,20,1
164,368,43631,37078005,21,0
30,68,59986,62714191,24,0
116,259,31043,33199429,21,1
22,50,27808,6429261,25,0
14,31,30113,67204648,26,0
16,35,50619,37147321,26,0
50,113,13508,36823288,23,0
15,34,30086,25604800,26,0
48,108,28555,23786189,23,0
23,51,9290,12637676,25,0
107,313,75227,1304056,21,1
16,37,28520,27336272,26,0
18,41,43098,49224953,25,0
17,38,53991,21510492,25,0
42,94,32132,19396229,24,0
146,326,63772,48261896,21,0
25,56,60341,3703710,25,0
109,245,17735,14632756,21,0
148,332,47169,29986512,21,1
54,122,42525,34026878,23,0
37,84,43610,54578628,24,0
10,23,38683,42773111,27,0
173,387,40044,61811304,20,0
22,49,40404,36374853,23,0
17,39,7734,22064879,25,0
2,5,36902,16759236,30,0
17,39,15959,29183697,25,0
139,311,47330,56975446,21,0
146,326,57665,30354373,21,0
33,74,53380,5987188,24,0
246,552,54130,57198942,20,0
133,297,47006,11077322,21,0
26,59,21302,10448229,25,0
28,63,10100,9706445,24,0
152,342,62181,64582620,21,0
44,98,18576,19523020,23,0
37,84,34584,31317379,24,0
13,31,66208,68642314,26,0
154,345,25831,14660627,21,1
46,103,34089,52330244,23,0
69,156,59330,48522567,22,0
18,41,26305,69194282,25,0
13,31,74272,69053325,26,0
192,430,80924,13732018,20,1
84,187,60231,35444406,22,0
192,430,47168,46587673,20,0
13,29,41012,74200132,26,0
62,138,5921,29709183,23,0
225,503,66344,45551325,20,1
35,78,25360,8203170,24,0
88,196,37162,20215349,22,0
10,22,38842,49407148,27,0
175,392,40632,51551956,20,1
184,413,44505,50403199,20,0
15,34,23150,10241773,26,0
26,58,50748,32527075,25,0
201,450,74603,25965259,20,0
175,392,54389,50556937,20,0
48,108,17504,46237008,23,0
2,6,47239,57462433,29,0
42,94,78951,63463205,24,0
12,27,61965,64864520,26,0
265,594,37616,49741077,20,1
105,236,39314,22607615,22,1
31,71,74051,45709588,24,0
8,19,40213,47633168,27,0
175,392,45275,39465932,20,0
231,517,85581,59267770,20,0
37,82,17864,18324870,24,0
4,9,32573,470799,28,0
21,47,36239,49610006,25,0
36,82,27778,4750458,24,0
19,43,28520,4251123,25,0
22,49,24348,21924586,25,0
55,124,23581,20395457,23,0
197,440,32420,64883720,20,0
40,89,50403,58952628,24,0
9,21,55129,223643,27,0
257,575,32443,38502726,20,1
11,24,26305,15943672,26,0
27,62,44309,74048667,24,0
38,85,90413,71062376,24,0
65,147,18218,4322080,23,0
138,309,61555,39988505,21,0
133,297,61148,55713783,21,0
13,31,24966,1303319,26,0
18,41,30239,24481982,25,0
3,8,40456,169923,29,0
35,78,23608,19333102,24,0
27,62,26993,21952194,24,0
24,54,14285,13522608,25,0
284,636,73943,59751979,19,0
23,52,34796,2792356,25,0
221,494,13516,67829157,20,0
12,28,15272,23458674,26,0
58,130,46542,52149149,23,0
12,28,23997,33240229,26,0
116,259,32200,64745473,21,0
110,247,40467,48255490,21,1
19,44,39840,24085155,25,0
12,28,82223,57639413,26,0
40,90,32781,16943740,24,0
308,688,82986,60855132,19,1
80,179,34883,59522315,22,0
12,27,62750,68106186,26,0
201,450,89350,72285073,20,0
265,594,46374,70693523,20,1
110,247,34606,47007995,21,0
87,195,84062,70229074,22,0
152,342,37732,18137346,21,0
27,62,27478,9605620,24,0
11,25,24650,66342502,26,0
12,28,60995,66949758,26,0
152,342,22442,62380893,21,0
38,85,61058,27222828,24,0
124,277,37646,62775693,21,1
13,29,34019,3666426,26,0
106,238,35688,24586971,21,1
56,125,45394,29749765,23,0
127,284,72012,64065507,21,0
226,505,24753,74256835,20,0
16,37,62450,43930557,26,0
17,39,61318,1715892,25,0
123,276,51180,21852486,21,0
101,225,29452,62650131,22,1
7,17,33467,1402107,27,0
16,35,58828,70475003,26,0
10,113,24992,1302167,27,0
11,25,15130,50555824,26,0
92,206,36381,11433202,22,0
175,392,53107,11752714,20,0
47,105,60222,34840749,23,0
256,572,32231,24213936,20,1
50,113,34564,66933954,23,0
11,26,65183,70473198,26,0
18,41,31410,36771473,25,0
24,54,17694,13434382,25,0
8,17,88315,47638602,27,0
167,375,78540,42676095,21,0
253,567,100092,20063760,20,1
133,297,75207,57848790,21,0
22,49,28032,44162550,25,0
92,206,11368,35839703,22,0
10,23,54714,67711660,27,0
192,430,49222,43383458,20,0
42,94,34345,11914603,24,0
16,37,27038,5562721,26,0
30,68,73256,22890298,24,0
167,375,36616,32636925,21,0
278,622,77517,50590819,19,0
11,24,46133,56053836,26,0
105,236,57675,65776034,22,0
305,682,65212,54096782,19,0
264,591,44769,11447350,20,0
101,225,8725,53330861,22,0
36,82,62219,12436660,24,0
80,271,54167,17177501,22,0
17,39,33121,39120486,25,0
146,326,24071,23345867,21,1
29,65,43053,69316212,24,0
101,225,48483,6873001,22,0
9,21,40124,517168,27,0
12,28,22636,580865,26,0
11,26,61096,37500868,26,0
11,26,17902,1594309,26,0
146,326,54041,43114521,21,0
8,19,81678,58034766,27,0
23,51,24112,37499219,25,0
114,257,33444,31031461,21,0
15,34,14632,16591620,26,0
152,342,72481,61781661,21,0
0,1,76621,15702,32,0
257,575,47669,51182722,20,0
160,358,50603,26850381,21,0
36,82,29478,61874316,24,0
199,446,59192,53552226,20,1
180,403,39166,13852133,20,1
101,225,39258,60587480,22,0
1,2,38434,4044068,32,0
172,385,92370,45701603,20,1
24,53,63591,72372343,25,0
26,59,68125,70276216,25,0
146,326,68141,39193985,21,0
49,111,85677,71997614,23,0
110,247,90787,58178775,21,1
48,108,34595,70399372,23,0
25,56,52534,9923186,25,0
8,18,21392,44078244,27,0
60,136,56466,42341637,23,0
192,430,16159,65915104,20,0
73,163,91258,61960556,22,0
110,247,29390,6510797,21,1
12,28,33039,40307504,26,0
21,47,15647,20704750,25,0
30,68,61420,1237635,24,0
169,378,26052,59979515,20,1
22,50,24590,16541371,25,0
40,89,18609,27932901,24,0
13,29,88689,67993061,26,0
26,59,26190,9819138,25,0
3,7,47735,53490590,29,0
225,503,49346,16718438,20,1
105,236,75194,31222791,22,0
105,236,26853,21296417,22,0
133,297,59766,50471508,21,0
19,43,82018,68330845,25,0
60,136,51299,31398964,23,0
113,253,74906,7920456,21,0
6,15,34628,43743454,27,0
31,71,41013,24614756,24,0
49,111,21600,39695005,23,0
18,41,60822,41503040,25,0
139,311,28155,69533646,21,0
6,13,34812,264795,28,0
40,89,30988,10396136,24,0
21,47,34371,70425841,25,0
110,247,40592,19123682,21,0
139,311,9384,41681174,21,0
10,23,52786,396797,26,0
18,41,50505,33556370,25,0
32,73,68130,50456715,24,0
23,51,17693,55232124,25,0
3,7,65835,54282441,29,0
78,174,25424,18194921,22,0
33,74,48848,59645175,24,0
152,342,57674,66564670,21,0
46,103,28176,9304773,23,0
73,163,51015,61650077,22,0
80,179,42529,11835395,22,0
93,208,30198,41763312,22,0
58,130,25565,49839005,23,0
50,113,35289,4288293,23,0
116,259,51846,37198125,21,0
36,81,41373,49722183,24,0
73,163,52204,3079210,22,0
23,51,16453,4952825,25,0
5,13,29240,62040887,28,0
7,16,18967,22212915,27,0
10,22,28235,356290,27,0
24,54,74328,44569817,25,0
31,71,24174,10312021,24,0
7,16,22222,11914613,27,0
38,85,26489,14301983,24,0
44,99,83794,7610546,23,0
58,130,39769,2438778,23,0
183,411,98601,66589494,20,0
12,28,39440,22995996,26,0
16,124,19413,5001576,26,0
48,108,50618,52008343,23,0
20,45,54739,63064774,25,0
96,215,33501,40045531,22,0
44,98,27287,59458887,23,0
45,101,22306,17200222,23,0
96,215,37005,55931977,22,0
32,72,70118,67937672,24,0
99,222,43863,66903116,22,0
265,594,58839,54422473,20,0
21,48,30587,3513633,25,0
15,34,29084,4996624,26,0
14,32,47226,57243925,26,0
139,311,75234,67704827,21,0
13,31,13494,9131894,26,0
22,50,49307,7433303,25,0
66,149,44328,32223233,23,0
152,342,50275,60789586,21,1
27,62,28409,11339557,24,0
20,45,66749,53693032,25,0
13,30,60676,35052472,26,0
18,41,69760,67171287,25,0
175,392,38297,34779499,20,1
14,32,40656,24439360,26,0
303,679,81123,6785587,19,1
305,682,91134,70116426,19,0
152,342,66730,42494330,21,1
11,25,62375,40634618,26,0
20,45,29384,8563121,25,0
33,74,34537,9971085,24,0
139,311,23666,17573314,21,0
110,246,31093,61111451,21,0
221,494,38292,9385045,20,1
65,145,19331,29019887,23,0
167,375,60395,21085395,21,0
16,35,33040,40104626,26,0
278,622,43827,39913075,19,0
11,24,72145,891433,26,0
18,40,100424,11397007,25,0
18,41,53083,30941586,25,0
76,170,48756,18180842,22,0
18,41,44078,63828977,25,0
11,25,28836,73789630,26,0
11,25,14375,1913914,26,0
110,247,39774,68017876,21,1
197,440,75884,68723698,20,0
11,25,54880,46145546,26,0
33,74,19741,6675445,24,0
14,32,19622,17701351,26,0
50,112,52570,71413493,23,0
67,151,20306,47123301,22,0
50,113,30685,24080413,23,0
14,32,68236,65403759,26,0
11,25,30635,26728368,26,0
73,163,96328,43555927,22,0
22,51,18579,18530062,25,0
60,136,35006,20552089,23,0
58,130,94715,62492140,23,0
54,121,45864,12005457,23,0
69,156,37909,26020482,22,0
48,108,20858,61849300,23,0
100,224,16771,30218882,22,0
6,15,74968,65006577,27,0
26,59,67780,53163659,25,0
46,103,78467,64534000,23,0
63,142,29456,48627241,23,0
211,472,61503,20252342,20,1
2,5,69036,73419019,30,0
14,33,29142,52933333,26,0
6,14,6602,1182050,28,0
161,361,74558,38437952,21,0
175,392,53675,14141330,20,0
11,26,27189,3633807,26,0
40,89,51573,8905588,24,0
3,7,40081,59665670,29,0
48,108,53255,2441937,23,0
53,118,25540,57333940,23,0
124,277,31451,22937227,21,1
12,28,23288,391525,26,0
223,498,61652,30841105,20,0
189,422,67442,40956190,20,0
278,622,47203,23956041,19,1
42,94,53679,72388696,24,0
105,236,28648,28544669,22,0
201,450,61405,40736131,20,0
48,108,47786,11680896,23,0
133,297,28337,61348246,21,1
33,74,45492,3559251,24,0
26,59,54932,4027034,25,0
33,74,9097,31890053,24,0
167,375,58251,17139263,21,1
31,71,26735,13501855,24,0
66,149,79080,68858059,23,0
146,326,61361,59743619,21,0
17,38,57492,57707009,25,0
38,85,37736,64121165,24,0
177,396,21934,56066542,20,1
121,271,75312,62674702,21,1
39,87,107888,67870981,24,0
3,7,31645,39412757,29,0
110,247,74797,72807954,21,0
11,24,24239,58448629,26,0
12,113,15689,24861543,26,0
21,47,39559,9742062,25,0
160,358,49191,45212400,21,0
175,392,61509,44082382,20,0
